No.,Word,Việt Note,Phonetics,Note,Example,Type,Level
949,champion,nhà quán quân; nhà vô địch,/ˈtʃæmpiən/,"a person, team, etc. that has won a competition, especially in a sport",The team celebrated their victory and their star player was hailed as the champion.,noun,B1
950,championship,"danh hiệu quán quân, chức vô địch",/ˈtʃæmpiənʃɪp/,a competition to find the best player or team in a particular sport,The team had been training for months in preparation for the upcoming championship.,noun,B2
951,changing,"hay thay đổi, hay biến đổi",/ˈtʃeɪn.dʒɪŋ/,in a state of becoming different,Our changing eating habits are causing doctors concern.,adjective,A1
952,channel,kênh truyền hình,/ˈtʃænl/,a band of radio waves used for making television or radio broadcasts,I usually watch the news on the local channel.,noun,B1
953,chapter,chương,/ˈtʃæptə(r)/,"a separate section of a book, usually with a number or title",The main characters are clearly delineated in the first chapter of the book.,noun,B1
954,character,"nhân vật (trong tiểu thuyết, trong vở kịch)",/ˈkærəktə(r)/,"a person or an animal in a book, play or film",The novel had an interesting character who was both kind and cunning.,noun,A2
955,characteristic,"đặc thù, đặc trưng, đặc điểm",/ˌkærəktəˈrɪstɪk/,a typical feature or quality that something/somebody has,There were few similarities in the brothers' physical characteristics.,noun,B2
956,characterize,"biểu thị đặc điểm, mô tả đặc điểm, định rõ đặc điểm",/ˈkærəktəraɪz/,to describe something by stating its main qualities,"In her essay, she characterizes the whole era as a period of radical change.",verb,C1
957,charge,"tiền phải trả, giá tiền, tiền công, tiền thù lao",/tʃɑːdʒ/,"the amount of money that you have to pay for something, especially for an activity or service",Is there a charge for children or do they go free?,noun,B2
958,charity,tổ chức từ thiện,/ˈtʃærəti/,"an organization whose purpose is to give money, food, or help to those who need it, or to carry out activities such as medical research that will help people in need, and not to make a profit",Proceeds from the sale of these cards will go to local charities.,noun,A2
959,chart,"đồ thị, biểu đồ",/tʃɑːt/,"a diagram, lists of figures, etc. that shows information",Some shares have lost two-thirds of their value since being issued (see chart).,noun,A1
960,chase,"rượt theo, đuổi theo",/tʃeɪs/,"to run, drive, etc. after somebody/something in order to catch them or it",My dog likes chasing rabbits.,verb,B2
961,cheap,"rẻ, rẻ tiền",/tʃiːp/,costing little money or less money than you expected,I found a cheap flight to Europe for my vacation.,adjective,A1
962,check,"kiểm tra; kiểm lại, soát lại",/tʃek/,"to examine something to see if it is correct, safe or acceptable",She gave me the minutes of the meeting to read and check.,verb,A1
963,cheek,má,/tʃiːk/,either side of the face below the eyes,Her cheeks were wet with tears.,noun,B2
964,cheese,"phô mai, bánh phô mai",/tʃiːz/,a type of food made from milk that can be either soft or hard and is usually white or yellow in colour; a particular type of this food,I love to eat cheese with crackers and grapes for a snack.,noun,A1
965,chef,"đầu bếp, bếp trưởng ở cửa hàng ăn",/ʃef/,"a person whose job is to cook, especially the most senior person in a restaurant, hotel, etc.",The chef at the restaurant prepared a delicious meal for us.,noun,A2
966,chemical,"(thuộc) hóa học, (về) hóa học",/ˈkemɪkl/,connected with chemistry,I'm studying the chemical properties of this new compound in my laboratory.,adjective,B1
967,chest,ngực,/tʃest/,"the top part of the front of the body, between the neck and the stomach",My chest feels tight after running for a mile.,noun,B1
968,chief,người đứng đầu; trưởng,/tʃiːf/,a person with a high rank or the highest rank in a company or an organization,The president is the chief of the armed forces.,noun,B2
969,child,"trẻ con, đứa trẻ",/tʃaɪld/,a young human who is not yet an adult,The child was playing with his toys on the floor.,noun,A1
970,childhood,tuổi thơ ấu; thời thơ ấu,/ˈtʃaɪldhʊd/,the period of somebody’s life when they are a child,I have many fond memories from my childhood.,noun,B1
971,chocolate,sô cô la; kẹo sô cô la; nước sô cô la,/ˈtʃɒklət/,"a hard brown sweet food made from cocoa beans, used in cooking to add taste to cakes, etc. or eaten as a sweet",I like to eat chocolate ice cream on a hot summer day.,noun,A1
972,cholesterol,chất béo gây xơ cứng động mạch; cô-lét-xtê-ron,/kəˈlestərɔːl/,a fatty substance found in most tissues of the body. Too much cholesterol in the blood is linked to a higher risk of heart disease.,My doctor told me to watch my cholesterol levels and to exercise regularly.,noun,C1
973,church,nhà thờ,/tʃɜːtʃ/,"a building where Christians go to attend services, pray, etc.",The procession moved into the church.,noun,B2
974,cigarette,điếu thuốc lá,/ˌsɪɡəˈret/,"a thin tube of paper filled with tobacco, for smoking",Smoking a cigarette is harmful to your health.,noun,A2
975,circle,vòng tròn,/ˈsɜːkl/,a completely round flat shape,The children sat in a circle to play a game.,noun,A2
976,circumstance,"hoàn cảnh, trường hợp, tình huống",/ˈsɜːkəmstəns/ /ˈsɜːkəmstɑːns/ /ˈsɜːkəmstæns/,"the conditions and facts that are connected with and affect a situation, an event or an action",I found myself in a difficult circumstance that I wasn't prepared for.,noun,B2
977,citizen,công dân,/ˈsɪt̬.ə.zən/,a person who has the legal right to belong to a particular country,The defeat of the president did not change the lives of ordinary citizens for the better.,noun,B2
978,civil,dân sự,/ˈsɪvl/,connected with the people who live in a country,Helicopters are mainly used for military rather than civil use.,adjective,B2
979,civilian,dân thường,/səˈvɪliən/,a person who is not a member of the armed forces or the police,Two soldiers and one civilian were killed in the explosion.,noun,C1
980,claim,"quả quyết, khẳng định, tuyên bố",/kleɪm/,to say that something is true although it has not been proved and other people may not believe it,She claimed to hate all art.,verb,B1
981,classic,kinh điển,/ˈklæsɪk/,accepted or deserving to be accepted as one of the best or most important of its kind,I enjoy reading classic novels like Pride and Prejudice.,adjective,B2
982,classroom,phòng học,/ˈklɑːsruːm/ /ˈklɑːsrʊm/,a room where a class of children or students is taught,The students are studying in the classroom with their teacher.,noun,A1
983,client,khách hàng (của một cửa hàng),/ˈklaɪənt/,a person who uses the services or advice of a professional person or organization,She's a well-known lawyer with many famous clients.,noun,B1
984,climate,khí hậu,/ˈklaɪmət/,the regular pattern of weather conditions of a particular place,Climate change is a global issue that affects us all.,noun,B2
985,climb,"trèo, leo",/klaɪm/,to go up something towards the top,Don't climb too high.,verb,A1
986,clinic,phòng khám chữa bệnh,/ˈklɪnɪk/,a building or part of a hospital where people can go for special medical treatment or advice,Your local family planning clinic can give you advice about birth control.,noun,B2
987,clinical,lâm sàng,/ˈklɪnɪkl/,relating to the examination and treatment of patients and their illnesses,The clinical trial showed promising results for the new drug.,adjective,C1
988,closely,"chặt chẽ, khít, sát, sít vào nhau",/ˈkləʊsli/,near in space or time,"He walked into the room, closely followed by the rest of the family.",adverb,B2
989,clothing,"quần áo, trang phục",/ˈkləʊðɪŋ/,"clothes, especially a particular type of clothes",Workers at the factory wear protective clothing.,noun,A2
990,cloud,mây,/klaʊd/,"a grey or white mass that floats in the sky, made of very small drops of water",Dark clouds were gathering in the west.,noun,A2
991,clue,"manh mối, đầu mối",/kluː/,"an object, a piece of evidence or some information that helps the police solve a crime",The burglar left no clues.,noun,B1
992,cluster,"đám, cụm, chòm, đàn",/ˈklʌstə(r)/,a group of things of the same type that grow or appear close together,The telescope is focused on a dense cluster of stars at the edge of the galaxy.,noun,C1
993,coach,"huấn luyện viên, người hướng dẫn",/kəʊtʃ/,"a person who provides guidance, training, and support to individuals or groups in order to help them achieve their goals",The basketball coach taught his team new strategies for the upcoming game.,noun,A2
994,coal,than đá,/kəʊl/,a hard black mineral that is found below the ground and burnt to produce heat,I put more coal on the fire.,noun,B1
995,coalition,"sự liên hiệp, sự liên minh, sự liên kết",/ˌkəʊəˈlɪʃn/,a government formed by two or more political parties working together,The two parties have formed a coalition.,noun,C1
996,coast,bờ biển,/kəʊst/,the land next to or near to the sea or ocean,The coast stretched far into the distance.,noun,A2
997,coat,"áo khoác (có tay, thường cài khuy ở đằng trước), áo choàng (phụ nữ), áo bành tô (đàn ông)",/kəʊt/,a piece of outdoor clothing that is worn over other clothes to keep warm or dry. Coats have sleeves (= parts covering the arms) and may be long or short.,I need to put on my coat before going outside because it's cold.,noun,A1
998,coffee,cà phê; hạt cà phê; bột cà phê,/ˈkɒfi/,a dark brown powder with a strong flavour and smell that is made by crushing dark beans from a tropical bush and used to make a drink,I drink a cup of coffee every morning.,noun,A1
999,cognitive,"(về) nhận thức, liên quan đến nhận thức, dựa trên hiểu biết, kinh nghiệm",/ˈkɒɡnətɪv/,connected with mental processes of understanding,Cognitive therapy can help people with anxiety and depression by changing their negative thought patterns.,adjective,C1
1000,collapse,"đổ, sập, đổ sập",/kəˈlæps/,"to fall down or fall in suddenly, often after breaking apart",The roof collapsed under the weight of snow.,verb,B2
1001,colleague,"đồng nghiệp, đồng sự",/ˈkɒliːɡ/,"a person that you work with, especially in a profession or a business",I have a meeting with my colleague to discuss the new project.,noun,A2
1002,collect,"sưu tầm, thu lượm, thu thập, thu gom",/kəˈlekt/,to bring things together from different people or places,I like to collect stamps from different countries as a hobby.,verb,A2
1003,collection,"sự thu gom, sự sưu tầm, bộ sưu tập",/kəˈlekʃn/,"a group of objects, often of the same sort, that have been collected",He wanted to share his vast art collection with the world.,noun,B1
1004,collective,"tập thể, chung, tập hợp",/kəˈlektɪv/,done or shared by all members of a group of people; involving a whole group or society,It was a collective decision.,adjective,C1
1005,college,"trường đại học, trường cao đẳng",/ˈkɒlɪdʒ/,(in the UK) a place where students go to study or to receive training after they have left school,I am studying engineering at a prestigious college.,noun,A1
1006,colonial,"thuộc địa, thực dân",/kəˈləʊniəl/,connected with or belonging to a country that controls another country,The colonial period in American history lasted from the 16th to the 18th century.,adjective,C1
1007,column,"cột, trụ",/ˈkɒləm/,one of the straight sections from top to bottom into which text on a page or screen is divided,The building had a row of columns that supported the roof.,noun,A2
1008,combination,"sự kết hợp, sự phối hợp",/ˌkɒmbɪˈneɪʃn/,two or more things joined or mixed together to form a single unit,The tragedy was due to a combination of factors.,noun,B2
1009,combine,"kết hợp, phối hợp",/kəmˈbaɪn/,to come together to form a single thing or group; to join two or more things or groups together to form a single one,Hydrogen and oxygen combine to form water.,verb,B1
1010,comedy,hài kịch; phim hài,/ˈkɒmədi/,"a play, film or TV show that is intended to be funny, usually with a happy ending; plays, films and TV shows of this type",I watched a comedy movie last night and laughed so hard.,noun,A2
1011,comfort,"sự an nhàn, sự sung túc, sự tiện nghi, sự thoải mái",/ˈkʌmfət/,a pleasant feeling of being relaxed and free from pain,The hotel offers a high standard of comfort and service.,noun,B2
1012,comfortable,"thoải mái, dễ chịu",/ˈkʌmftəbl/ /ˈkʌmfətəbl/,"making you feel physically relaxed; pleasant to wear, sit on, etc.",It's such a comfortable bed.,adjective,A2
1013,command,"lệnh, mệnh lệnh",/kəˈmænd/,an order given to a person or an animal,Begin when I give the command.,noun,B2
1014,commander,"người chỉ huy, người điều khiển, người ra lệnh",/kəˈmɑːndə(r)/,"a person who is in charge of something, especially an officer in charge of a particular group of soldiers or a military operation",The commander led his troops into battle.,noun,B2
1015,comment,"lời bình luận, nhận xét",/ˈkɒment/,something that you say or write that gives an opinion on or explains somebody/something,She made helpful comments on my work.,noun,A2
1016,commercial,"(thuộc) buôn bán, (thuộc) thương mại, (thuộc) thương nghiệp, (thuộc) mậu dịch",/kəˈmɜːʃl/,connected with the buying and selling of goods and services,The commercial future of the company looks very promising.,adjective,B1
1017,commission,tiền hoa hồng,/kəˈmɪʃn/,an amount of money that is paid to somebody for selling goods and that increases with the amount of goods that are sold,The sales representative received a commission on every product she sold.,noun,B2
1018,commit,phạm phải (tội lỗi),/kəˈmɪt/,to do something wrong or illegal,What leads someone to commit murder?,verb,B1
1019,commitment,lời cam kết,/kəˈmɪtmənt/,a promise to do something or to behave in a particular way; a promise to support somebody/something; the fact of committing yourself,I'm not ready to make a long-term commitment.,noun,B2
1020,committee,ủy ban,/kəˈmɪti/,"a group of people who are chosen, usually by a larger group, to make decisions or to deal with a particular subject",The committee is responsible for organizing the annual charity event.,noun,B2
1021,common,"phổ biến, phổ thông, thông thường",/ˈkɑːmən/,happening often; existing in large numbers or in many places,One of the most common causes of food poisoning is consuming undercooked meat.,adjective,A1
1022,communicate,"giao tiếp, truyền đạt (thông tin)",/kəˈmjuːnɪkeɪt/,"to share or exchange information, news, ideas, feelings, etc.",We only communicate by email.,verb,A2
1023,communication,"sự liên lạc, sự truyền đạt, sự giao tiếp",/kəˌmjuːnɪˈkeɪʃn/,the activity or process of expressing ideas and feelings or of giving people information,Good communication between team leaders and members is essential.,noun,B1
1024,community,cộng đồng,/kəˈmjuːnəti/,"all the people who live in a particular area, country, etc. when talked about as a group",The local community supported us from the start.,noun,A2
1025,compare,"so sánh, đối chiếu",/kəmˈpeə(r)/,to examine people or things to see how they are similar and how they are different,It is interesting to compare their situation and ours.,verb,A1
1026,comparison,sự so sánh,/kəmˈpærɪsn/,the process of comparing two or more people or things,"For Durkheim, comparison was the most important method of analysis in sociology.",noun,B1
1027,compete,"ganh đua, cạnh tranh, tranh tài",/kəmˈpiːt/,to take part in a contest or game,"The games were an outstanding success, with almost 2400 athletes competing.",verb,A2
1028,competition,"cuộc tranh tài, cuộc thi đấu, sự cạnh tranh",/ˌkɒmpəˈtɪʃn/,an event in which people compete with each other to find out who is the best at something,There is a fierce competition among the candidates in the upcoming election.,noun,A2
1029,competitive,"tính đua tranh, cạnh tranh",/kəmˈpetətɪv/,used to describe a situation in which people or organizations compete against each other,She has always been a competitive athlete and strives to win every game.,adjective,B1
1030,competitor,"người cạnh tranh, đối thủ",/kəmˈpetɪtə(r)/,a person who takes part in a competition,Over 200 competitors entered the race.,noun,B1
1031,complain,"kêu ca, than phiền",/kəmˈpleɪn/,"to say that you are annoyed, unhappy or not satisfied about somebody/something","She never complains, but she's obviously exhausted.",verb,A2
1032,complaint,"sự kêu ca, sự than phiền, sự khiếu nại",/kəmˈpleɪnt/,a reason for not being satisfied; a statement that somebody makes saying that they are not satisfied,I can see no grounds for complaint.,noun,B1
1033,complete,hoàn thành,/kəmˈpliːt/,"including all the parts, etc. that are necessary; whole",He only needs two more cards to complete the set.,verb,A2
1034,completely,"hoàn toàn, đầy đủ, trọn vẹn",/kəmˈpliːtli/,in every way possible; in every part,It was completely different from how I had imagined it.,adverb,A2
1035,complex,phức tạp,/ˈkɒmpleks/,made of many different things or parts that are connected; difficult to understand,The instructions for assembling the toy were so complex that it took me hours to complete.,adjective,B1
1036,complicated,"phức tạp, rắc rối",/ˈkɒmplɪkeɪtɪd/,made of many different things or parts that are connected; difficult to understand,The math problem was so complicated that even the teacher had trouble solving it.,adjective,B2
1037,component,"thành phần, bộ phận cấu thành",/kəmˈpəʊnənt/,one of several parts of which something is made,The computer's keyboard is a crucial component for typing.,noun,B2
1038,compose,"soạn, sáng tác",/kəmˈpəʊz/,to write music,She can compose a beautiful melody on the piano.,verb,B2
1039,composition,"sự sáng tác; bài sáng tác, tác phẩm",/ˌkɒmpəˈzɪʃn/,"the act of composing something, especially a piece of music; the art of writing music",At music school I studied piano and composition.,noun,C2
1040,comprehensive,bao quát; toàn diện,/ˌkɒmprɪˈhensɪv/,"including all, or almost all, the items, details, facts, information, etc., that may be involved",The comprehensive report included data from various sources.,adjective,B2
1041,concentrate,tập trung,/ˈkɒnsntreɪt/,to give all your attention to something and not think about anything else,I can't concentrate with all that noise going on.,verb,B1
1042,concentration,sự tập trung,/ˌkɒnsnˈtreɪʃn/,"the ability to direct all your effort and attention on one thing, without thinking of other things",This book requires a great deal of concentration.,noun,B2
1043,concept,khái niệm,/ˈkɑːnsept/,an idea or a principle that is connected with something abstract,The concept of time travel has fascinated people for centuries.,noun,B2
1044,concern,"liên quan, dính líu tới, bận tâm tới",/kənˈsɜːn/,to affect somebody/something; to involve somebody/something,Don't interfere in what doesn't concern you.,verb,B2
1045,concerned,"quan tâm, lo lắng",/kənˈsɜːrnd/,worried and feeling concern about something/somebody,She was concerned to write about situations that everybody could identify with.,adjective,B2
1046,concert,buổi hòa nhạc,/ˈkɒnsət/,a public performance of music,I'm looking forward to the outdoor concert next weekend.,noun,A1
1047,conclude,"kết luận, quyết định",/kənˈkluːd/,to decide or believe something as a result of what you have heard or seen,It is too early for us to conclude anything.,verb,B1
1048,conclusion,"sự quyết định, sự kết luận",/kənˈkluːʒn/,something that you decide when you have thought about all the information connected with the situation,We can safely draw some conclusions from our discussion.,noun,B1
1049,concrete,bê tông,/ˈkɑːnkriːt/,"building material that is made by mixing together cement, sand, small stones and water",Concrete is a mixture of sand and cement.,noun,C1
1050,condition,"tình trạng, điều điện",/kənˈdɪʃn/,the state that something is in,The doctor checked my medical condition and gave me some advice.,noun,A2
1051,conduct,"tiến hành, tổ chức",/kənˈdʌkt/,to organize and perform a particular activity,We are conducting a survey to find out what our customers think of their local bus service.,verb,B2
1052,conference,hội nghị,/ˈkɒnfərəns/,"a large official meeting, usually lasting for a few days, at which people with the same work or interests come together to discuss their views","The hotel is used for exhibitions, conferences and social events.",noun,A2
1053,confidence,sự tự tin; sự tin tưởng,/ˈkɒnfɪdəns/,a belief in your own ability to do things and be successful,People often lose confidence when they are criticized.,noun,B2
1054,confident,"tin, tin tưởng, tự tin",/ˈkɒnfɪdənt/,feeling sure about your own ability to do things and be successful,I feel confident about my upcoming presentation.,adjective,B1
1055,confirm,"xác nhận, chứng thực",/kənˈfɜːm/,"to state or show that something is definitely true or correct, especially by providing evidence",His guilty expression confirmed my suspicions.,verb,B2
1056,conflict,cuộc xung đột,/ˈkɒnflɪkt/,"a situation in which people, groups or countries disagree strongly or are involved in a serious argument",The violence was the result of political and ethnic conflicts.,noun,B2
1057,confront,"chạm trán, đối đầu, đương đầu",/kənˈfrʌnt/,to appear and need to be dealt with by somebody,What is to be done about the economic problems confronting the country?,verb,C1
1058,confusion,"sự bối rối, sự ngượng ngập, sự xấu hổ",/kənˈfjuːʒn/,a situation in which you feel embarrassed because you do not understand something and are not sure what to do,He looked at me in confusion and did not answer the question.,noun,B2
1059,congress,"đại hội, hội nghị",/ˈkɑːŋɡrəs/,"a large formal meeting or series of meetings where representatives from different groups discuss ideas, make decisions, etc.",The congress is scheduled to vote on the new bill tomorrow.,noun,
1060,congressional,"(thuộc) đại hội, (thuộc) hội nghị, (thuộc) quốc hội ",/kənˈɡreʃənl/,related to or belonging to a congress or the Congress in the US,The senator gave a compelling speech during the congressional hearing.,adjective,C1
1061,connect,"nối, kết nối",/kəˈnekt/,to join together two or more things; to be joined together,The towns are connected by train and bus services.,verb,A2
1062,connection,"sự nối, sự kết nối, mối liên hệ",/kəˈnekʃn/,"something that connects two facts, ideas, etc.",Scientists have established a connection between cholesterol levels and heart disease.,noun,B1
1063,consciousness,"sự tỉnh, sự tỉnh táo",/ˈkɑːnʃəsnəs/,the state of being able to use your senses and mental powers to understand what is happening,I can't remember any more - I must have lost consciousness.,noun,C1
1064,consensus,"sự nhất trí, sự đồng thuận",/kənˈsensəs/,an opinion that all members of a group agree with,She is skilled at achieving consensus on sensitive issues.,noun,C1
1065,consequence,hậu quả,/ˈkɒnsɪkwəns/,"a result of something that has happened, especially an unpleasant result",Remember that actions have consequences.,noun,B1
1066,conservative,bảo thủ,/kənˈsɜːrvətɪv/,opposed to great or sudden social change; showing that you prefer traditional styles and values,He has always been a conservative person when it comes to political views.,adjective,B2
1067,consider,"cân nhắc, xem xét, suy xét, suy nghĩ",/kənˈsɪdə(r)/,"to think about something carefully, especially in order to make a decision",I'd like some time to consider.,verb,A2
1068,considerable,"rất lớn, to tát, đáng kể",/kənˈsɪdərəbl/,"great in amount, size, importance, etc.",The project wasted a considerable amount of time and money.,adjective,B2
1069,consideration,"sự xem xét, sự cân nhắc",/kənˌsɪdəˈreɪʃn/,the act of thinking carefully about something,"After careful consideration, they decided to accept the job offer.",noun,B2
1070,consistent,"kiên định, trước sau như một",/kənˈsɪstənt/,"always behaving in the same way, or having the same opinions, standards, etc.","To be successful, you must be consistent in your efforts.",adjective,B2
1071,constant,"liên tục, không ngớt, liên miên",/ˈkɑːnstənt/,happening all the time or repeatedly,She still has constant nightmares.,adjective,B2
1072,constantly,"(một cách) liên tục, liên miên, luôn luôn, không ngừng",/ˈkɒnstəntli/,all the time; repeatedly,Fashion is constantly changing.,adverb,B2
1073,constitute,"tạo thành, cấu thành",/ˈkɒnstɪtjuːt/,to be considered to be something,Does such an activity constitute a criminal offence?,verb,C1
1074,constitutional,(thuộc) hiến pháp,/ˌkɒnstɪˈtjuːʃənl/,connected with the constitution of a country or an organization,The Supreme Court is responsible for interpreting the constitutional law.,adjective,C1
1075,construct,xây dựng (nhà cửa…),/kənˈstrʌkt/,"to build or make something such as a road, building or machine",The building was constructed in 1993.,verb,B2
1076,construction,sự xây dựng; cách xây dựng,/kənˈstrʌkʃn/,"the process or method of building or making something, especially roads, buildings, bridges, etc.",Construction began this year and will take approximately 18 months.,noun,B2
1077,consultant,"chuyên viên, tư vấn viên, nhà chuyên môn",/kənˈsʌltənt/,a person who knows a lot about a particular subject and is employed to give advice about it to other people,The company hired a consultant to provide expertise on the new project.,noun,B2
1078,consume,"tiêu dùng, tiêu thụ",/kənˈsuːm/,"to use something, especially fuel, energy or time",The electricity industry consumes large amounts of fossil fuels.,verb,B1
1079,consumer,người tiêu dùng,/kənˈsjuːmə(r)/,a person who buys goods or uses services,"As a consumer, it's important to read product reviews before making a purchase.",noun,B1
1080,consumption,"sự tiêu dùng, sự tiêu thụ",/kənˈsʌmpʃn/,"the act of using energy, food or materials; the amount used",Excessive consumption of sugary drinks can lead to health problems.,noun,B2
1081,contact,"sự tiếp xúc, sự liên lạc",/ˈkɒntækt/,"the act of communicating with somebody, especially regularly",I don't have much contact with my uncle.,noun,B2
1082,contain,chứa,/kənˈteɪn/,"if something contains something else, it has that thing inside it or as part of it",This drink doesn't contain any alcohol.,verb,A2
1083,container,"cái đựng, cái chứa, thùng đựng hàng, hộp đựng hàng, công te nơ",/kənˈteɪnər/,"a large metal or wooden box of a standard size in which goods are packed so that they can easily be lifted onto a ship, train, etc. to be transported",The delivery arrived in a large container that needed to be unloaded with a forklift.,noun,C1
1084,contemporary,cùng thời; đương thời,/kənˈtempəreri/,belonging to the same time,The museum features a collection of contemporary art from around the world.,adjective,B2
1085,content,"bằng lòng, vừa lòng, vừa ý, thỏa mãn",/ˈkɑːntent/,a feeling of being happy or satisfied,She stood for a moment looking with content at her husband.,noun,B1
1086,contest,"cuộc thi, cuộc tranh tài",/ˈkɒntest/,"a competition to do better than other people, usually in which prizes are given",I'm going to enter the cooking contest at the county fair this year.,noun,B2
1087,context,"ngữ cảnh, bối cảnh",/ˈkɒntekst/,"the words that come just before and after a word, phrase or statement and help you to understand its meaning",You should be able to guess the meaning of the word from the context.,noun,A2
1088,continue,tiếp tục,/kənˈtɪnjuː/,to keep existing or happening without stopping,"If the current trend continues, that number will increase 165 per cent by 2050.",verb,A2
1089,continued,liên tục,/kənˈtɪnjuːd/,existing in the same state without change or a break,We are grateful for your continued support.,adjective,
1090,contract,hợp đồng,/ˈkɒntrækt/,an official written agreement,All employees have a written contract of employment.,noun,B2
1091,contrast,"sự tương phản, sự trái ngược",/ˈkɒntrɑːst/,a difference between two or more people or things that you can see clearly when they are compared or put close together; the fact of comparing two or more things in order to show the differences between them,The two cities make an interesting contrast.,noun,B1
1092,contribute,"góp, đóng góp",/kənˈtrɪbjuːt/ /ˈkɒntrɪbjuːt/,"to give something, especially money or goods, to help achieve or provide something",Do you wish to contribute?,verb,B2
1093,contribution,sự đóng góp,/ˌkɒntrɪˈbjuːʃn/,a gift or payment that is made to a person or an organization in order to help pay for something,All contributions will be gratefully received.,noun,B2
1094,control,"sự kiểm soát, sự quản lý",/kənˈtrəʊl/,"the power to make decisions about how a country, an area, an organization, etc. is run",The party expects to gain control of the council in the next election.,noun,A2
1095,controversial,"gây tranh luận, gây tranh cãi",/ˌkɒntrəˈvɜːʃl/,causing a lot of angry public discussion and disagreement,The book's controversial content led to it being banned in several countries.,adjective,B2
1096,controversy,"sự tranh luận, sự tranh cãi, cuộc tranh luận, cuộc bàn cãi",/ˈkɒntrəvɜːsi/ /kənˈtrɒvəsi/,"public discussion and argument about something that many people strongly disagree about, think is bad, or are shocked by",The new policy sparked controversy among the employees.,noun,B2
1097,convention,hội nghị,/kənˈvenʃn/,"a large meeting of the members of a profession, a political party, etc.",The annual comic book convention was attended by thousands of fans.,noun,B2
1098,conventional,"thường, thông thường",/kənˈvenʃənl/,"tending to follow what is done or considered acceptable by society in general; normal and ordinary, and perhaps not very interesting",He preferred a conventional approach to solving problems.,adjective,B2
1099,conversation,"cuộc hội thoại, cuộc nói chuyện, cuộc trò chuyện",/ˌkɒnvəˈseɪʃn/,an informal talk involving a small group of people or only two; the activity of talking in this way,I overheard an interesting conversation on the train this morning.,noun,A1
1100,convert,"biến đổi, chuyển đổi, chuyển hoá",/kənˈvɜːt/,"to change or make something change from one form, purpose, system, etc. to another",They took just nine months to convert the building.,verb,B2
1101,conviction,"sự kết án, án tù, bản án",/kənˈvɪkʃn/,the act of finding somebody guilty of a crime in court; the fact of having been found guilty,He plans to appeal against his conviction.,noun,C1
1102,convince,"làm cho nhận ra, làm cho tin, thuyết phục",/kənˈvɪns/,to make somebody/yourself believe that something is true,I've been trying to convince him to see a doctor.,verb,B1
1103,cookie,"(từ Mỹ,nghĩa Mỹ) bánh dẹt nhỏ, bánh quy",/ˈkʊki/,"a small flat sweet cake for one person, usually baked until hard and dry",My grandmother always baked delicious cookies during the holidays.,noun,A2
1104,cooperation,sự hợp tác,/kəʊˌɑːpəˈreɪʃn/,the fact of doing something together or of working together towards a shared aim,They offered their cooperation on the project.,noun,C1
1105,cope,"đối phó, đương đầu với khó khăn",/kəʊp/,to deal successfully with something difficult,I got to the stage where I wasn't coping any more.,verb,B2
1106,core,"điểm trung tâm, nòng cốt, hạt nhân, cốt lõi",/kɔː(r)/,the most important or central part of something,This report goes to the core of the argument.,noun,B2
1107,corn,"(từ Mỹ) ngô, bắp",/kɔːrn/,a tall plant grown for its large yellow grains that are used for making flour or eaten as a vegetable; the grains of this plant,"The major crops are wheat, barley and corn.",noun,B1
1108,corner,góc,/ˈkɔːnə(r)/,"a part of something where two or more sides, lines or edges join",I found a cozy little coffee shop on the corner of Main Street.,noun,A2
1109,corporate,"(thuộc) công ty, đoàn thể, doanh nghiệp",/ˈkɔːrpərət/,connected with a large business company,The corporate office is located in the downtown area of the city.,adjective,B2
1110,corporation,"tập đoàn, công ty kinh doanh",/ˌkɔːpəˈreɪʃn/,a large business company,The corporation announced a new sustainability initiative to reduce their carbon footprint.,noun,B2
1111,correct,"đúng, chính xác",/kəˈrekt/,"accurate or true, without any mistakes",Do you have the correct time?,adjective,A1
1112,correspondent,phóng viên (báo chí),/ˌkɔːr.əˈspɑːn.dənt/,a person who reports news from a particular country or on a particular subject for a newspaper or a television or radio station,She's the BBC's political correspondent.,noun,C1
1113,cost,"phí tồn, chi phí",/kɒst/,"the amount of money that you need in order to buy, make or do something",The cost of living has gone up significantly in the past year.,noun,A1
1114,cotton,"bông, cây bông, vải bông",/ˈkɑː.tən/,a plant grown in warm countries for the soft white hairs around its seeds that are used to make cloth and thread,"From the age of six she worked in the fields, picking cotton.",noun,B1
1115,couch,"ghế trường kỷ, ghế dài",/kaʊtʃ/,a long comfortable seat for two or more people to sit on,He was sprawled on the living-room couch watching TV.,noun,B2
1116,council,hội đồng,/ˈkaʊnsl/,a group of people who are elected to govern an area such as a city or county,The city council is meeting tonight to discuss the new budget proposal.,noun,B2
1117,counter,quầy hàng; quầy,/ˈkaʊntə(r)/,"a long flat surface over which goods are sold or business is done in a shop, bank, etc.",I asked the woman behind the counter if they had any postcards.,noun,B2
1118,country,"đất nước, quốc gia",/ˈkʌntri/,an area of land that has or used to have its own government and laws,Japan is a beautiful country with a rich cultural heritage.,noun,A1
1119,county,"hạt (đơn vị hành chính của Anh), tỉnh, quận",/ˈkaʊnti/,"one of a number of areas that some countries are divided into, each with its own local government",The county fair is always a popular event for families during the summer.,noun,B2
1120,couple,"đôi, cặp",/ˈkʌpl/,two people or things,He presented us with a couple of jade lions.,noun,A2
